names,cas number,smiles,kso4,kOH_rescale,chemical class,Set
thiocyanate,302-04-5,[S-]C#N,"5,20E+09","0,922958786",Sulfur,train
1-propoxypropane,111-43-3,CCCOCCC,"2,30E+08","0,696186847",Ether,train
2-chloroacetate,14526-03-5,[O-]C(=O)CCl,"4,50E+06","0,410097842",CarboxylicAcid,train
OCTAN-1-OL,111-87-5,CCCCCCCCO,"3,20E+08","0,720202726",Alcohol,train
Terephthalate,3198-30-9,[O-]C(=O)c1ccc(cc1)C([O-])=O,"1,70E+08","0,674204338",CarboxylicAcid,train
BENZENE,71-43-2,c1ccccc1,"1,68E+09","0,840792607",Alkene,train
2-hydroxy-2-oxoacetate,338-70-5,OC(=O)C([O-])=O,"1,70E+06","0,339306545",CarboxylicAcid,train
1-ethylsulfinylethane,70-29-1,CC[S](=O)CC,"3,90E+09","0,902037933",Sulfur,train
"1,7,8-trimethylbenzo[g]pteridine-2,4-dione",18950-64-6,O=C(N1)N(C)C2=NC3=CC(C)=C(C)C=C3N=C2C1=O,"7,00E+09","0,944575551",Amine,train
"1,1,1,2,2-pentadeuterio-2-deuteriooxyethane",1516-08-1,C(C(O[2H])([2H])[2H])([2H])([2H])[2H],"1,90E+07","0,514844006",Alcohol,train
"2-(hydroxymethyl)-5-(6-methylaminopurin-9-yl)oxolane-3,4-diol",1867-73-8,CNc1ncnc2n(cnc12)C3OC(CO)C(O)C3O,"4,90E+09","0,918637388",Amine,train
"5,8-dihydroxynaphthalene-1,4-dione",475-38-7,Oc1ccc(O)c2C(=O)C=CC(=O)c12,"7,40E+09","0,948616709",Alcohol,train
"7,8,10-trimethylbenzo[g]pteridine-2,4-dione",1088-56-8,CN1c2cc(C)c(C)cc2N=C3C(=O)NC(=O)N=C13,"7,00E+09","0,944575551",Amine,train
"2,2-diethoxyethylbenzene",6314-97-2,CCOC(Cc1ccccc1)OCC,"3,40E+09","0,892060375",Ether,train
2-Amino-3-hydroxypropanoic acid,302-84-1,NC(CO)C(O)=O,"2,30E+07","0,528737951",CarboxylicAcid,train
3-[6-(4-chloro-3-ethylphenoxy)hexyl]-2-(4-chlorophenyl)quinazolin-4-one,4641-33-2,CCc1cc(OCCCCCCN2C(=O)c3ccccc3N=C2c4ccc(Cl)cc4)ccc1Cl,"3,60E+08","0,72876816",Halogen,train
Ethoxyethane,60-29-7,CCOCC,"1,30E+08","0,654695609",Ether,train
Z,6950218,COc1ccccc1C([O-])=O,"7,00E+09","0,944575551",CarboxylicAcid,train
Propanedioate,156-80-9,[O-]C(=O)CC([O-])=O,"5,50E+06","0,424691042",CarboxylicAcid,train
Chlorobenzene,108-90-7,Clc1ccccc1,"1,50E+09","0,832551104",Halogen,train
4-Bromobenzoic acid,586-76-5,OC(=O)c1ccc(Br)cc1,"1,00E+09","0,803064817",CarboxylicAcid,train
"(8R,9S,13S,14S,17R)-17-ethynyl-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthrene-3,17-diol",57-63-6,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,"3,01E+09","0,883200248",Alcohol,train
1-Chloro-2-(chloromethyl)benzene,611-19-8,ClCc1ccccc1Cl,"7,00E+08","0,777126654",Halogen,train
3-methoxybenzoate,3433717,COc1cccc(c1)C([O-])=O,"7,60E+09","0,950556081",CarboxylicAcid,train
ETHANE,74-84-0,CC,"4,40E+06","0,408463568",Alkane,train
"(2S,5R,6R)-6-[[(2R)-2-amino-2-phenylacetyl]amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",69-53-4,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(O)=O,"2,00E+09","0,853471957",CarboxylicAcid,train
2,90645-55-9,OC(C)(C)C1CC=CCC1,"4,60E+09","0,914042884",Alcohol,train
4-Hydroxybenzoic acid,99-96-7,OC(=O)c1ccc(O)cc1,"2,50E+09","0,869699432",CarboxylicAcid,train
2-naphthalen-2-ylacetic acid,581-96-4,OC(=O)Cc1ccc2ccccc2c1,"3,60E+09","0,896217056",CarboxylicAcid,train
4-Methylbenzoate,5118-31-0,Cc1ccc(cc1)C([O-])=O,"1,80E+09","0,845809916",CarboxylicAcid,train
1-Phenylethanone,98-86-2,CC(=O)c1ccccc1,"3,10E+08","0,717893893",Ketone,train
but-3-enenitrile,109-75-1,C=CCC#N,"1,10E+09","0,809995976",Amine,train
"1,2,3-Trimethoxybenzene",634-36-6,COc1cccc(OC)c1OC,"7,00E+09","0,944575551",Ether,train
1-Bromo-2-chlorobenzene,694-80-4,Clc1ccccc1Br,"7,00E+08","0,777126654",Halogen,train
[5-(2-amino-6-oxo-3H-purin-9-yl)-3-hydroxyoxolan-2-yl]methyl dihydrogen phosphate,902-04-5,NC1=NC(=O)c2ncn(C3CC(O)C(CO[P](O)(O)=O)O3)c2N1,"2,30E+09","0,863635743",Amine,train
butanedioic acid,110-15-6,OC(=O)CCC(O)=O,"7,10E+06","0,443260398",CarboxylicAcid,train
1-cyclohex-3-enylmethanol,1679-51-2,OCC1CCC=CC1,"4,30E+09","0,90913841",Alcohol,train
"1,2-dichloro-4-methylbenzene",95-75-0,Cc1ccc(Cl)c(Cl)c1,"9,00E+08","0,795402775",Halogen,train
Z,6950588,COc1ccc(cc1OC)C([O-])=O,"4,50E+09","0,912444531",CarboxylicAcid,train
methylbenzene,108-88-3,Cc1ccccc1,"3,10E+09","0,88534279",Alkene,train
"3,4,5-trimethoxybenzoate",3468283,COc1cc(cc(OC)c1OC)C([O-])=O,"5,00E+09","0,920106572",CarboxylicAcid,train
1-Ethylnaphthalene,1127-76-0,CCc1cccc2ccccc12,"2,10E+09","0,857020082",Alkene,train
Cyclohexene,110-83-8,C1CCC=CC1,"4,00E+08","0,736430201",Alkene,train
"1,1-Dimethylguanidine",3324-71-8,CN(C)C(N)=N,"4,60E+08","0,746593988",Amine,train
Fluorobenzene,462-06-6,Fc1ccccc1,"9,80E+08","0,801595633",Halogen,train
"2,2-dichloroacetate",13425-80-4,[O-]C(=O)C(Cl)Cl,"2,10E+06","0,354673392",CarboxylicAcid,train
2-methylprop-2-enoic acid,79-41-4,CC(=C)C(O)=O,"1,10E+09","0,809995976",CarboxylicAcid,train
Acrylonitrile,107-13-1,C=CC#N,"8,10E+07","0,620291837",Did not work,train
propanedioic acid,141-82-2,OC(=O)CC(O)=O,"2,70E+06","0,372949513",CarboxylicAcid,test
2-[(1R)-4-methyl-1-cyclohex-3-enyl]propan-2-ol,98-55-5,CC1=CC[C@@H](CC1)C(C)(C)O,"4,60E+09","0,914042884",Alcohol,test
1H-Imidazole,288-32-4,[nH]1ccnc1,"5,30E+09","0,924344012",Amine,test
2-naphthalen-2-ylethanol,1485-07-0,OCCc1ccc2ccccc2c1,"2,90E+09","0,880492851",Alcohol,test
prop-2-enoic acid,79-10-7,OC(=O)C=C,"1,06E+08","0,639853359",CarboxylicAcid,test
Propan-2-ol,67-63-0,CC(C)O,"3,50E+07","0,559270617",Alcohol,test
(2S)-2-amino-4-methylsulfanylbutanoic acid,26062-47-5,CSCC[C@H](N)C(O)=O,"1,10E+09","0,809995976",CarboxylicAcid,test
Methylsulfinylmethane,67-68-5,C[S](C)=O,"2,70E+09","0,875296203",Sulfur,test
"1,2-Dichlorobenzene",95-50-1,Clc1ccccc1Cl,"6,00E+08","0,765916488",Halogen,test
Heptan-1-ol,111-70-6,CCCCCCCO,"2,50E+08","0,702250535",Alcohol,test
